DEPTH(m),RHOB(g_cm^3),DRHO,DRRT,PEF,IDRO,IDDR,IDPE,MRP_T2(%),BFV_T2(%),FFV_T2(%),T2LM_T2(ms),TNPH(%),GR(gAPI)
4.1388,1.3718,0.0008,0.2223,3.3762,1.5041,-0.0055,3.2474,80.3063,56.4377,23.8686,19.1699,65.052,50.5893
4.2912,1.3719,0.0038,0.2002,3.3952,1.5096,0.0037,3.3785,81.3702,61.1107,20.2596,16.8975,65.0489,50.7254
4.4436,1.3706,0.0023,0.2136,3.4315,1.4857,-0.011,3.6002,84.2852,64.7708,19.5144,15.3705,63.8577,51.7917
4.596,1.3832,0.0056,0.2338,3.4286,1.511,-0.0104,3.6986,84.8055,64.7854,20.0201,15.5148,61.2554,52.7545
4.7484,1.3902,0.0072,0.242,3.3972,1.536,-0.0015,3.4994,85.3872,64.4324,20.9548,14.6081,57.7119,52.7929
4.9008,1.3882,0.0056,0.2686,3.3506,1.5241,-0.0102,3.5355,87.0219,67.5606,19.4613,13.6811,58.1522,53.6244
5.0532,1.3836,0.0056,0.2864,3.3503,1.5283,-0.0121,3.5222,86.499,68.8526,17.6464,12.743,58.0902,56.5265
5.2056,1.3826,0.0041,0.2956,3.3236,1.5214,-0.0157,3.5758,86.0645,70.0329,16.0317,11.8048,57.6428,58.8407
5.358,1.3797,0.0058,0.2869,3.3638,1.5198,-0.0096,3.6527,85.9308,70.11,15.8207,11.0705,60.0939,58.1165
5.5104,1.3898,0.0133,0.266,3.3869,1.5182,-0.0015,3.794,86.6945,73.2165,13.478,10.2285,58.549,57.1413
5.6628,1.3913,0.0173,0.2737,3.5123,1.5071,-0.0008,3.9401,86.242,75.0668,11.1752,9.5246,61.4933,58.7709
5.8152,1.3947,0.0184,0.28,3.5816,1.4978,-0.006,3.906,85.48,78.0672,7.4129,8.5248,61.0674,62.2594
5.9676,1.3852,0.0121,0.2863,3.4722,1.4835,-0.011,3.9023,85.3832,78.1552,7.228,8.141,66.4749,67.0777
6.12,1.3889,0.0117,0.2677,3.369,1.4872,-0.0061,3.8312,82.8772,78.1586,4.7186,7.7642,63.7237,67.4736
6.2724,1.4009,0.0142,0.2714,3.3059,1.4903,-0.0101,3.6777,82.3021,77.6472,4.6549,7.419,61.0637,66.9334
6.4248,1.4143,0.0212,0.2288,3.4176,1.5112,0.0022,3.7834,81.1971,78.837,2.3601,6.8924,57.3814,63.8817
6.5772,1.4271,0.0284,0.2111,3.4669,1.518,0.0114,3.9628,79.2639,78.1844,1.0795,6.547,61.0489,62.3848
6.7296,1.4354,0.0343,0.1938,3.4473,1.5189,0.0173,4.0852,78.85,77.6621,1.1879,6.3829,62.8974,63.5072
6.882,1.447,0.0396,0.1935,3.4626,1.5172,0.017,4.1606,78.4123,77.7413,0.671,6.192,63.9073,66.8087
7.0344,1.4485,0.0413,0.1537,3.426,1.5168,0.0255,4.1161,77.9905,77.9905,0.0,5.9912,64.1286,70.6428
7.1868,1.4522,0.0429,0.1035,3.3809,1.536,0.0476,3.8735,76.9182,76.9182,0.0,5.8453,66.5144,72.1806
7.3392,1.4417,0.0365,0.0798,3.2402,1.5161,0.0518,3.5882,77.4455,77.4455,0.0,5.8493,67.0568,70.0958
